institution,total,total_men,total_women,total_amind,men_amind,women_amind,total_asian,men_asian,women_asian,total_black,men_black,women_black,total_hisp,men_hisp,women_hisp,total_hapac,men_hapac,women_hapac,total_white,men_white,women_white,total_twoplus,men_twoplus,women_twoplus,total_unk,men_unk,women_unk,total_alien,men_alien,women_alien,sector,degree_status,level,hbcu,tribal,p_admit_total,p_admit_men,p_admit_women,sat_math_25,sat_math_75,act_math_25,act_math_75,out_tuition,in_tuition,total_eng,men_eng,women_eng,amind_eng,amind_men_eng,amind_women_eng,asian_eng,asian_men_eng,asian_women_eng,black_eng,black_men_eng,black_women_eng,hisp_eng,hisp_men_eng,hisp_women_eng,hapac_eng,hapac_men_eng,hapac_women_eng,white_eng,white_men_eng,white_women_eng,twoplus_eng,twoplus_men_eng,twoplus_women_eng,unk_eng,unk_men_eng,unk_women_eng,alien_eng,alien_men_eng,alien_women_eng,total_bio,men_bio,women_bio,amind_bio,amind_men_bio,amind_women_bio,asian_bio,asian_men_bio,asian_women_bio,black_bio,black_men_bio,black_women_bio,hisp_bio,hisp_men_bio,hisp_women_bio,hapac_bio,hapac_men_bio,hapac_women_bio,white_bio,white_men_bio,white_women_bio,unk_bio,unk_men_bio,unk_women_bio,twoplus_bio,twoplus_men_bio,twoplus_women_bio,alien_bio,alien_men_bio,alien_women_bio,total_math,men_math,women_math,amind_math,amind_men_math,amind_women_math,asian_math,asian_men_math,asian_women_math,black_math,black_men_math,black_women_math,hisp_math,hisp_men_math,hisp_women_math,hapac_math,hapac_men_math,hapac_women_math,white_math,white_men_math,white_women_math,twoplus_math,twoplus_men_math,twoplus_women_math,unk_math,unk_men_math,unk_women_math,alien_math,alien_men_math,alien_women_math,total_phys,men_phys,women_phys,amind_phys,amind_men_phys,amind_women_phys,asian_phys,asian_men_phys,asian_women_phys,black_phys,black_men_phys,black_women_phys,hisp_phys,hisp_men_phys,hisp_women_phys,hapac_phys,hapac_men_phys,hapac_women_phys,white_phys,white_men_phys,white_women_phys,twoplus_phys,twoplus_men_phys,twoplus_women_phys,unk_phys,unk_men_phys,unk_women_phys,alien_phys,alien_men_phys,alien_women_phys
Knox College,1399,586,813,3,1,2,77,35,42,110,42,68,175,68,107,0,0,0,743,308,435,56,24,32,56,17,39,179,91,88,2,1,1,2,2,68,65,71,NA,NA,NA,NA,40497,40497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,31,43,0,0,0,10,5,5,2,1,1,7,6,1,0,0,0,44,14,30,2,2,0,0,0,0,9,3,6,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,7,4,3,226,102,124,1,0,1,14,5,9,17,6,11,21,9,12,0,0,0,117,54,63,4,1,3,11,5,6,41,22,19
Kuyper College,270,122,148,2,1,1,7,5,2,9,6,3,4,2,2,0,0,0,209,90,119,11,4,7,12,6,6,16,8,8,2,1,1,2,2,71,67,73,NA,NA,17,25,19084,19084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laboure College,757,74,683,1,0,1,21,3,18,211,19,192,45,7,38,1,0,1,440,40,400,6,2,4,32,3,29,0,0,0,2,1,1,2,2,90,67,92,NA,NA,NA,NA,33507,33507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lafayette College,2503,1330,1173,3,2,1,81,39,42,118,63,55,166,81,85,1,0,1,1708,924,784,53,29,24,177,91,86,196,101,95,2,1,1,2,2,30,27,33,620,720,27,31,46385,46385,711,510,201,1,1,0,20,18,2,29,23,6,41,28,13,0,0,0,481,343,138,15,11,4,44,31,13,80,55,25,349,103,246,0,0,0,19,3,16,16,5,11,27,10,17,0,0,0,239,72,167,3,1,2,29,10,19,16,2,14,67,38,29,0,0,0,2,0,2,1,1,0,1,1,0,0,0,0,41,25,16,2,2,0,2,1,1,18,8,10,87,53,34,0,0,0,4,3,1,2,1,1,2,1,1,0,0,0,63,39,24,3,3,0,8,5,3,5,1,4
Lake Michigan College,4219,1695,2524,21,5,16,45,21,24,566,219,347,277,94,183,8,2,6,2493,976,1517,100,43,57,709,335,374,0,0,0,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,6861,5472,70,64,6,0,0,0,2,2,0,12,11,1,6,5,1,1,1,0,44,40,4,1,1,0,4,4,0,0,0,0,34,11,23,0,0,0,1,1,0,2,0,2,1,0,1,0,0,0,28,9,19,0,0,0,2,1,1,0,0,0,11,7,4,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,22,10,12,0,0,0,1,1,0,2,1,1,4,2,2,0,0,0,15,6,9,0,0,0,0,0,0,0,0,0
Lake Washington Institute of Technology,3660,1474,2186,15,6,9,324,86,238,111,56,55,271,107,164,12,7,5,2211,898,1313,166,70,96,485,220,265,65,24,41,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,9096,3907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,15,0,0,0,3,1,2,0,0,0,2,0,2,0,0,0,9,2,7,0,0,0,4,0,4,0,0,0,9,3,6,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,6,2,4,0,0,0,1,1,0,0,0,0,13,2,11,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,1,5,1,1,0,1,0,1,3,0,3
Lake-Sumter State College,4470,1723,2747,26,4,22,176,84,92,442,160,282,359,125,234,11,4,7,2934,1133,1801,109,43,66,386,156,230,27,14,13,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,13276,3172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakeview College of Nursing,317,46,271,2,2,0,6,1,5,28,4,24,5,0,5,2,0,2,267,39,228,4,0,4,3,0,3,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landmark College,518,376,142,1,0,1,12,9,3,20,16,4,19,15,4,1,1,0,369,267,102,12,7,5,75,53,22,9,8,1,2,1,1,2,2,86,88,82,NA,NA,NA,NA,50080,50080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lane College,1262,656,606,0,0,0,0,0,0,1262,656,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,43,39,46,370,470,14,16,9780,9780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,83,104,0,0,0,0,0,0,187,83,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,11,0,0,0,0,0,0,21,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,10,0,0,0,0,0,0,23,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence University,1511,688,823,8,4,4,60,18,42,51,27,24,100,47,53,0,0,0,1068,490,578,59,24,35,7,4,3,158,74,84,2,1,1,2,2,73,67,78,NA,NA,NA,NA,42657,42657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,43,76,0,0,0,9,2,7,2,1,1,6,3,3,0,0,0,90,35,55,6,1,5,0,0,0,6,1,5,21,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,10,10,0,0,0,0,3,3,0,48,30,18,1,0,1,3,2,1,3,2,1,1,1,0,0,0,0,34,21,13,2,1,1,0,0,0,4,3,1
Le Cordon Bleu College of Culinary Arts-Scottsdale,1567,733,834,14,7,7,6,2,4,75,34,41,41,23,18,6,4,2,174,84,90,15,6,9,1235,572,663,1,1,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,11352,11352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Le Moyne-Owen College,1006,378,628,0,0,0,2,1,1,987,361,626,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,10,9,1,2,1,1,1,2,52,62,47,320,410,13,17,10680,10680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,18,57,0,0,0,0,0,0,75,18,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,7,0,0,0,0,0,0,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lees-McRae College,940,318,622,3,3,0,6,3,3,64,37,27,20,9,11,0,0,0,543,149,394,8,2,6,273,99,174,23,16,7,2,1,1,2,2,62,61,62,NA,NA,NA,NA,24150,24150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,44,132,0,0,0,2,1,1,3,1,2,4,2,2,0,0,0,102,24,78,3,2,1,62,14,48,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lewis-Clark State College,4304,1694,2610,99,34,65,39,15,24,33,27,6,215,93,122,13,8,5,3576,1355,2221,102,42,60,115,47,68,112,73,39,1,1,1,2,2,99,99,99,400,520,16,23,19142,8624,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,140,65,75,7,2,5,1,1,0,1,1,0,9,4,5,0,0,0,114,55,59,5,1,4,1,1,0,2,0,2,22,16,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,14,6,0,0,0,0,0,0,1,1,0,30,12,18,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,26,12,14,0,0,0,0,0,0,0,0,0
Lincoln College,1264,535,729,5,2,3,7,3,4,480,217,263,62,37,25,0,0,0,639,242,397,39,15,24,27,14,13,5,5,0,2,1,1,2,2,56,55,57,NA,NA,23,27,17500,17500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lincoln College of New England-Southington,715,192,523,3,1,2,9,1,8,152,63,89,106,32,74,1,0,1,342,62,280,56,17,39,46,16,30,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,19940,19940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lincoln College of Technology-West Palm Beach,713,432,281,0,0,0,8,4,4,296,178,118,137,95,42,3,1,2,239,136,103,17,9,8,13,9,4,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,15580,15580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linfield College-McMinnville Campus,1683,645,1038,14,6,8,96,28,68,29,17,12,169,58,111,10,6,4,1046,424,622,181,57,124,45,17,28,93,32,61,2,1,1,2,2,94,91,95,480,600,20,26,37416,37416,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,71,28,43,1,1,0,3,1,2,0,0,0,8,4,4,0,0,0,44,17,27,12,5,7,3,0,3,0,0,0,33,19,14,0,0,0,1,1,0,0,0,0,7,4,3,1,1,0,18,10,8,1,1,0,1,1,0,4,1,3,21,13,8,0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,13,8,5,0,0,0,3,1,2,1,1,0
Linfield College-Online and Continuing Education,436,85,351,2,1,1,12,5,7,6,2,4,50,10,40,1,0,1,306,56,250,11,1,10,48,10,38,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linfield College-School of Nursing,347,69,278,6,0,6,38,7,31,9,2,7,31,4,27,0,0,0,227,52,175,19,3,16,16,1,15,1,0,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Living Arts College,413,157,256,2,1,1,3,0,3,219,80,139,30,14,16,0,0,0,126,48,78,14,8,6,19,6,13,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,16780,16780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livingstone College,1301,689,612,7,3,4,2,1,1,1142,619,523,13,5,8,0,0,0,4,3,1,0,0,0,133,58,75,0,0,0,2,1,1,1,2,64,61,67,320,400,14,16,16825,16825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,26,73,1,0,1,0,0,0,87,21,66,1,0,1,0,0,0,1,1,0,0,0,0,9,4,5,0,0,0,26,4,22,1,0,1,0,0,0,21,2,19,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles College of Music,147,104,43,3,3,0,7,7,0,7,5,2,19,13,6,1,1,0,43,33,10,5,0,5,33,21,12,29,21,8,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,22875,22875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Film School,2284,1878,406,10,8,2,84,75,9,560,462,98,517,431,86,1,1,0,354,289,65,304,248,56,369,304,65,85,60,25,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana State University-Alexandria,2702,840,1862,47,14,33,40,18,22,461,130,331,113,44,69,0,0,0,1943,600,1343,74,21,53,5,2,3,19,11,8,1,1,1,2,2,55,59,52,440,530,17,22,12868,6009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,64,91,4,3,1,4,4,0,17,2,15,10,3,7,0,0,0,118,51,67,2,1,1,0,0,0,0,0,0,37,26,11,1,1,0,3,2,1,3,3,0,4,3,1,0,0,0,25,16,9,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luther College,2385,1045,1340,8,4,4,39,10,29,34,25,9,80,49,31,0,0,0,2014,852,1162,49,25,24,15,6,9,146,74,72,2,1,1,2,2,71,66,75,510,640,23,28,38370,38370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,107,164,1,0,1,7,1,6,1,0,1,4,1,3,0,0,0,240,95,145,4,2,2,0,0,0,14,8,6,77,43,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,39,28,2,1,1,1,0,1,7,3,4,80,56,24,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,69,49,20,0,0,0,0,0,0,9,6,3
Lycoming College,1353,629,724,2,0,2,13,4,9,95,63,32,60,28,32,0,0,0,1025,457,568,34,12,22,63,31,32,61,34,27,2,1,1,2,2,72,69,76,470,590,NA,NA,34706,34706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,34,65,0,0,0,0,0,0,5,3,2,1,0,1,0,0,0,83,26,57,1,1,0,8,4,4,1,0,1,14,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8,0,0,0,1,0,1,1,1,0,32,18,14,0,0,0,1,0,1,2,0,2,1,1,0,0,0,0,26,16,10,0,0,0,1,1,0,1,0,1
Lyme Academy College of Fine Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,30456,30456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lyon College,712,374,338,10,7,3,11,6,5,47,31,16,44,21,23,0,0,0,530,275,255,0,0,0,46,24,22,24,10,14,2,1,1,2,2,61,61,62,475,580,22,26,24300,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,29,55,0,0,0,2,2,0,6,1,5,6,2,4,0,0,0,66,21,45,0,0,0,2,2,0,2,1,1,26,16,10,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,22,12,10,0,0,0,2,2,0,0,0,0,15,9,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6,0,0,0,1,1,0,0,0,0
